year,months,tree,resp250,resp200,resp150,resp100,resp050
2017,July,1,NA,NA,0.05371246683984008,NA,NA
2017,July,2,0.20873976987047901,NA,0.23964215885478404,NA,0.11998712048086632
2017,July,3,NA,NA,0.09239388462877297,NA,NA
2017,July,4,NA,NA,0.16264523112540313,NA,NA
2017,July,5,NA,0.07127641089808912,NA,0.0995452861318174,NA
2017,July,6,NA,NA,0.26116949004752155,NA,NA
2017,July,7,NA,NA,0.12372526229503134,NA,NA
2017,July,8,0.1937707395796452,NA,0.15356136724581487,NA,0.07590397033498034
2017,July,9,NA,NA,0.09548840819701213,NA,NA
2017,July,10,NA,0.17273750365200097,NA,0.07181608305279102,NA
2017,July,11,NA,0.15905562104262583,NA,0.0902740998781395,NA
2017,July,12,NA,0.08532664338554846,NA,0.08212975400658337,NA
2017,July,13,NA,0.12462405147741765,NA,0.1174716404732053,NA
2017,July,14,0.16999285214360985,NA,0.18251834243607368,NA,0.11872576949999719
2017,July,15,NA,0.11564697656325698,NA,0.08401609862474294,NA
2017,July,16,NA,0.13055500833649122,NA,0.10457982607020369,NA
2017,July,17,NA,0.06876566646659982,NA,0.05057294998925835,NA
2017,July,18,NA,NA,0.13856127049323308,NA,NA
2017,July,19,NA,0.07614133373115933,NA,0.07438468966100625,NA
2017,July,20,NA,0.14570618489089793,NA,0.08645403528241746,NA
2017,July,21,NA,0.16612696692524587,NA,0.08580947099686007,NA
2017,July,22,0.22226269578832974,NA,0.17020300880104305,NA,0.15954096223967634
2017,July,23,NA,0.10550018172005234,NA,0.07718031646599455,NA
2017,July,24,0.0844957669261794,NA,0.07418408291657433,NA,0.07138229589705486
2017,July,25,0.0777509888179863,NA,0.0633589171798381,NA,0.041694654035221344
2017,July,26,0.13501764488187412,NA,0.12121723186081022,NA,0.10374054447743587
2017,July,27,0.12646276374112547,NA,0.1174174494378783,NA,0.1031438642718272
2017,July,28,NA,0.09030832048736426,NA,0.0869712010310395,NA
2017,July,29,NA,0.18378830719027517,NA,0.14983715465701,NA
2017,July,30,NA,NA,0.10055292388800578,NA,NA
2017,July,31,NA,NA,0.12310593270298636,NA,NA
2017,July,32,NA,0.0658300699865115,NA,0.05426269287938207,NA
2017,July,33,NA,0.03097807896586552,NA,0.03230539757879242,NA
2017,July,34,0.10992652308960178,NA,0.13617973317816734,NA,0.054285731031909826
2017,July,35,NA,0.17370853509797884,NA,0.09787180315116427,NA
2017,July,36,NA,NA,0.18236357846591245,NA,NA
2017,July,37,0.27856212363672206,NA,0.15280271496602288,NA,0.18104138825921948
2017,July,38,NA,0.10326248247667225,NA,0.0461199893308485,NA
2017,July,39,NA,0.20197336013582154,NA,0.10571457464110355,NA
2017,July,40,NA,0.0987377456757737,NA,0.09764929761057703,NA
2017,August,1,NA,NA,0.06969182416799091,NA,NA
2017,August,2,0.30922630105640087,NA,0.2557427509433605,NA,0.10201202162467321
2017,August,3,NA,NA,0.09845764006976741,NA,NA
2017,August,4,NA,NA,0.17547558169468214,NA,NA
2017,August,5,NA,0.11404479627803792,NA,0.055354571013255076,NA
2017,August,6,NA,NA,0.2516025364375128,NA,NA
2017,August,7,NA,NA,0.09109886618368153,NA,NA
2017,August,8,0.20583028935187844,NA,0.1174828265697469,NA,0.07774548960794177
2017,August,9,NA,NA,0.11239557039087064,NA,NA
2017,August,10,NA,0.16814572570531894,NA,0.06237675221266302,NA
2017,August,11,NA,0.24148024244353555,NA,0.06242796368367901,NA
2017,August,12,NA,0.15159961538116073,NA,0.09066456509711145,NA
2017,August,13,NA,0.16503819338160883,NA,0.082111522472045,NA
2017,August,14,0.1866264415572274,NA,0.17844416482888042,NA,0.09898796270146971
2017,August,15,NA,0.27734036088572184,NA,0.07455140776738423,NA
2017,August,16,NA,0.2546157678264657,NA,0.06337165752279765,NA
2017,August,17,NA,0.09924790628209545,NA,0.03802125564271185,NA
2017,August,18,NA,NA,0.12592470304170802,NA,NA
2017,August,19,NA,0.1323841723909736,NA,0.04471302116235398,NA
2017,August,20,NA,0.1606946622673041,NA,0.07471036345224771,NA
2017,August,21,NA,0.24777990342053435,NA,0.047050450467641516,NA
2017,August,22,0.3614674416838668,NA,0.17322404423833151,NA,0.18483635146886868
2017,August,23,NA,0.19960025290695588,NA,0.05323046912771916,NA
2017,August,24,0.07505830543407549,NA,0.05617826821978574,NA,0.05167114537816347
2017,August,25,0.18335302541312948,NA,0.09042215697903433,NA,0.03607608692395235
2017,August,26,0.222795958780102,NA,0.11463932316929408,NA,0.055508688705995964
2017,August,27,0.16870146335508684,NA,0.10935404630647114,NA,0.07099381183299643
2017,August,28,NA,0.17175252811406325,NA,0.05406140631222544,NA
2017,August,29,NA,0.17544088467238728,NA,0.05368225143674278,NA
2017,August,30,NA,NA,0.07124825600950915,NA,NA
2017,August,31,NA,NA,0.07316136775876247,NA,NA
2017,August,32,NA,0.10819576507684812,NA,0.041802047605710886,NA
2017,August,33,NA,0.047953214872612594,NA,0.030616019422750846,NA
2017,August,34,0.11088169129174912,NA,0.12198707345577042,NA,0.04119239977322366
2017,August,35,NA,0.28208813767889723,NA,0.0592485496491736,NA
2017,August,36,NA,NA,0.1181220904902364,NA,NA
2017,August,37,0.33828875983302864,NA,0.17477407952195567,NA,0.08457894501122612
2017,August,38,NA,0.11396441814244411,NA,0.031950723765007204,NA
2017,August,39,NA,0.25657225844937487,NA,0.04753050985328684,NA
2017,August,40,NA,0.12235311033194751,NA,0.05868887751790853,NA
2017,October,1,NA,NA,0.07372069741708207,NA,NA
2017,October,2,0.46228857516452065,NA,0.34590440028676017,NA,0.08050106920039238
2017,October,3,NA,NA,0.07081522018897161,NA,NA
2017,October,4,NA,NA,0.17678511941576952,NA,NA
2017,October,5,NA,0.20129019291294517,NA,0.03185003945901287,NA
2017,October,6,NA,NA,0.19199138570601576,NA,NA
2017,October,7,NA,NA,0.07218351020815227,NA,NA
2017,October,8,0.1850340519131004,NA,0.05693871474793338,NA,0.05169261374597253
2017,October,9,NA,NA,0.09475141168187129,NA,NA
2017,October,10,NA,0.16783638930483596,NA,0.06343972266435903,NA
2017,October,11,NA,0.3081341789532277,NA,0.0356188137298083,NA
2017,October,12,NA,0.14047603524311927,NA,0.09133373727616081,NA
2017,October,13,NA,0.1231411237532424,NA,0.07062422498650898,NA
2017,October,14,0.2557602876192271,NA,0.1830899895538043,NA,0.07386018258886387
2017,October,15,NA,0.21360867488734409,NA,0.03914729079324804,NA
2017,October,16,NA,0.2788453948383697,NA,0.03554420462934097,NA
2017,October,17,NA,0.11712289059404307,NA,0.059536080553981435,NA
2017,October,18,NA,NA,0.11960920236273512,NA,NA
2017,October,19,NA,0.18499566937540174,NA,0.039081905375430714,NA
2017,October,20,NA,0.1364027531103318,NA,0.0893924437293501,NA
2017,October,21,NA,0.32202003288479236,NA,0.041484564754460794,NA
2017,October,22,0.3187545707964133,NA,0.11977597478806494,NA,0.12369458362951138
2017,October,23,NA,0.2381413344446353,NA,0.04242975694207216,NA
2017,October,24,0.1292758387673904,NA,0.04247711097931345,NA,0.03610245171872681
2017,October,25,0.25967317110626464,NA,0.1267002625898579,NA,0.030277862319073846
2017,October,26,0.2600124722818659,NA,0.08706826606182805,NA,0.0292782084045908
2017,October,27,0.2187041451788391,NA,0.12366376898987842,NA,0.04560329311932015
2017,October,28,NA,0.27997632625819224,NA,0.04418818501077033,NA
2017,October,29,NA,0.21523006024125482,NA,0.03029807628549401,NA
2017,October,30,NA,NA,0.069235148940824,NA,NA
2017,October,31,NA,NA,0.05979519306255706,NA,NA
2017,October,32,NA,0.11457977268386074,NA,0.04445774222160844,NA
2017,October,33,NA,0.04408377347448391,NA,0.019003366870446996,NA
2017,October,34,0.16318297124810854,NA,0.05612040096971012,NA,0.01992734164381018
2017,October,35,NA,0.33253842897515556,NA,0.036497547770511625,NA
2017,October,36,NA,NA,0.11018443251444646,NA,NA
2017,October,37,0.07766141753058446,NA,0.1830195023532075,NA,0.04810775869648296
2017,October,38,NA,0.06490062165329274,NA,0.03391523889387957,NA
2017,October,39,NA,0.3102438218799637,NA,0.0171546715041226,NA
2017,October,40,NA,0.2163272409500474,NA,0.026933539453205143,NA
2017,November,1,NA,NA,0.032105452538990845,NA,NA
2017,November,2,0.22506074933037093,NA,0.18916549380188452,NA,0.04962328784204512
2017,November,3,NA,NA,0.03382545838196173,NA,NA
2017,November,4,NA,NA,0.07634749818725826,NA,NA
2017,November,5,NA,0.11720829988020964,NA,0.01978019428795204,NA
2017,November,6,NA,NA,0.044331875233881476,NA,NA
2017,November,7,NA,NA,0.02881321888087068,NA,NA
2017,November,8,0.11289415225667472,NA,0.04052385142403438,NA,0.03673390246761399
2017,November,9,NA,NA,0.04007303181308214,NA,NA
2017,November,10,NA,0.060910159564794675,NA,0.030968629211748054,NA
2017,November,11,NA,0.140981349607058,NA,0.020237743181584514,NA
2017,November,12,NA,0.05222287230465351,NA,0.04504777207861927,NA
2017,November,13,NA,0.03789822438963283,NA,0.024110107136552462,NA
2017,November,14,0.10252264639917473,NA,0.07240831835254077,NA,0.04222655801160627
2017,November,15,NA,0.05218459223919234,NA,0.02566450207053627,NA
2017,November,16,NA,0.13089285764991546,NA,0.02137428480140028,NA
2017,November,17,NA,0.047417121136073465,NA,0.01819686875633502,NA
2017,November,18,NA,NA,0.035374056796923604,NA,NA
2017,November,19,NA,0.09085789086312616,NA,0.025840184621962706,NA
2017,November,20,NA,0.07845328731716757,NA,0.0377292984085204,NA
2017,November,21,NA,0.17063766321791893,NA,0.026362123885872463,NA
2017,November,22,0.1537786131862078,NA,0.06338114869942653,NA,0.07670979745552438
2017,November,23,NA,0.13861274324336065,NA,0.02687642418913537,NA
2017,November,24,0.04833832531348368,NA,0.030419322783259713,NA,0.02126301076777143
2017,November,25,0.1474000613339475,NA,0.07372119611284848,NA,0.01816300277876777
2017,November,26,0.1279377129998214,NA,0.04164540268759376,NA,0.018953673534046984
2017,November,27,0.07308625465631131,NA,0.07657068249413038,NA,0.02791935172730537
2017,November,28,NA,0.14014042514227018,NA,0.03363541547142173,NA
2017,November,29,NA,0.11202332099067268,NA,0.01932938372134484,NA
2017,November,30,NA,NA,0.032127206146174564,NA,NA
2017,November,31,NA,NA,0.027564828288883174,NA,NA
2017,November,32,NA,0.0572784310528821,NA,0.025732029720482066,NA
2017,November,33,NA,0.026780752325327273,NA,0.0194234505000364,NA
2017,November,34,0.1034565931960104,NA,0.024359364554629143,NA,0.011928427153385065
2017,November,35,NA,0.14041424474192482,NA,0.027116945224660224,NA
2017,November,36,NA,NA,0.04006276579502072,NA,NA
2017,November,37,0.011714340331638635,NA,0.12307478202907113,NA,0.03582738848070267
2017,November,38,NA,0.04111130228559377,NA,0.02122913826128265,NA
2017,November,39,NA,0.19948211995139836,NA,0.0023484725329051843,NA
2017,November,40,NA,0.12223066991718082,NA,0.006315996300862305,NA
